ESD_um_,Area,Eccentricity,EquivDiameter,FilledArea,OD,MajorAxisLength,MeanIntensity,MinorAxisLength,Orientation,Perimeter,Solidity,AspectRatio,Circularity,SettlingVelocity_mpd_
33.16743835,6,0.632455532,2.763953196,6,0.264809505,3.333333333,38.83333333,2.581988897,45,5.905,1,1.290994449,0.921278728,5.989513846
27.08110001,4,0,2.256758334,4,0.239580502,2.309401077,31,2.309401077,0,3.556,1,1,1,3.776134737
143.9380209,113,0.36433482,11.99483508,113,0.337509439,13.17005858,60.2300885,12.26485447,-41.55855106,47.984,0.768707483,1.073804716,0.543264838,20.60301913
66.3348767,24,0.813723799,5.527906392,24,0.264809505,7.628796076,36,4.434250956,-85.6049388,16.772,0.96,1.720424972,0.760539662,6.049502609
271.8246443,403,0.49906797,22.65205369,403,0.267840069,24.48319413,43.73200993,21.21622631,-73.60479795,73.721,0.939393939,1.153984397,0.857205307,27.44165647
119.5868996,78,0.488945117,9.96557497,78,0.261843668,10.78792681,40.57692308,9.410465516,73.66118475,29.326,0.939759036,1.146375468,0.929831575,0.91881931
94.78385004,49,0.199160899,7.89865417,49,0.234078146,8.237636234,30.04081633,8.07261005,-78.17718868,23.876,0.924528302,1.02044273,0.843553526,3.64310069
329.4558008,592,0.736884882,27.45465007,592,0.431133902,34.86457934,74.80574324,23.56909182,-26.83811198,102.634,0.882265276,1.479250011,0.664906588,20.34995745
109.1674042,65,0.616347492,9.097283683,65,0.234078146,10.62282432,31.27692308,8.365201118,74.68305231,28.582,0.928571429,1.269882716,0.811630747,3.1374
120.351041,79,0.250845544,10.02925341,79,0.258936453,10.29746761,39.58227848,9.968227952,44.38353797,29.69,0.94047619,1.033028905,0.920986054,1.2672
82.36395021,37,0.50571801,6.863662518,37,0.231271157,7.55575791,28.78378378,6.518343608,39.46196328,19.402,0.925,1.159153056,0.914882523,4.891474286
55.8291179,16,0.779602801,4.513516668,16,0.222440471,6.29127063,26,3.94006098,-72.2052041,13.679,0.941176471,1.596744482,0.71063609,0.859934118
126.2978425,87,0.604201174,10.52482021,87,0.236843247,12.15414632,33.31034483,9.684810474,-82.06987496,35.868,0.887755102,1.254969971,0.718433022,6.559488
35.82492793,7,0.856222401,2.985410661,7,0.212602917,4.312826484,22.85714286,2.228038055,8.349622117,6.922,1,1.935705934,0.868563961,6.1236
94.78385004,49,0.547526416,7.89865417,49,0.25608116,8.769268311,37.30612245,7.338021984,21.28167588,22.933,0.924528302,1.195045249,0.905671871,3.22272
38.29845892,8,0.580947502,3.191538243,8,0.228407082,3.651483717,28.5,2.972092417,-45,6.831,1,1.228590234,1,1.56168
40.62165002,9,0.691146709,3.385137501,9,0.247750155,4.462921352,41.22222222,3.225417905,42.61817915,10.032,0.818181818,1.383672282,0.651694286,1.811671579
140.7175234,108,0.526538425,11.72646029,108,0.245022413,12.87675005,36.32407407,10.9471862,75.70186555,36.356,0.939130435,1.176261169,0.869946142,14.11641132
30.27759026,5,0.765092056,2.523132522,5,0.222440471,3.306559138,28.6,2.12916259,-71.56505118,4.962,1,1.552985739,0.956807706,2.098605176
27.08110001,4,0,2.256758334,4,0.234078146,2.309401077,28,2.309401077,0,3.556,1,1,1,2.663921179
